fieldsample_barcode,BioSample,project_id,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_col,library_conc,library_method,seq_id
MFD04137,SAMN39868495,P04_3,EXT-MJ086-C5,EXT-MJ086-C5,EXT00012,C,5,7.59,PowerSoil-Pro-HT,LIB-MJ093-C5,LIB00012,C,5,1.74,ILLUMINA-DNA-PREP.V2,LIB-MJ093-C5_02
MFD04138,SAMN39868496,P04_3,EXT-MJ084-B8,EXT-MJ084-B8,EXT00010,B,8,22.29,PowerSoil-Pro-HT,LIB-MJ091-B8,LIB00010,B,8,0.69,ILLUMINA-DNA-PREP.V2,LIB-MJ091-B8_03
MFD04139,SAMN39868497,P04_3,EXT-MJ081-G1,EXT-MJ081-G1,EXT00007,G,1,13.21,PowerSoil-Pro-HT,LIB-MJ088-G1,LIB00007,G,1,1.7,ILLUMINA-DNA-PREP.V2,LIB-MJ088-G1_04
MFD04140,SAMN39868498,P04_3,EXT-MJ081-C6,EXT-MJ081-C6,EXT00007,C,6,9.25,PowerSoil-Pro-HT,LIB-MJ088-C6,LIB00007,C,6,1.17,ILLUMINA-DNA-PREP.V2,LIB-MJ088-C6_04
MFD04141,SAMN39868499,P04_3,EXT-MJ085-G4,EXT-MJ085-G4,EXT00011,G,4,30.18,PowerSoil-Pro-HT,LIB-MJ092-G4,LIB00011,G,4,1.34,ILLUMINA-DNA-PREP.V2,LIB-MJ092-G4_01
MFD04142,SAMN39868500,P04_3,EXT-MJ084-C11,EXT-MJ084-C11,EXT00010,C,11,12.79,PowerSoil-Pro-HT,LIB-MJ091-C11,LIB00010,C,11,0.47,ILLUMINA-DNA-PREP.V2,LIB-MJ091-C11_03
MFD04143,SAMN39868501,P04_3,EXT-MJ084-B10,EXT-MJ084-B10,EXT00010,B,10,3.07,PowerSoil-Pro-HT,LIB-MJ091-B10,LIB00010,B,10,0.19,ILLUMINA-DNA-PREP.V2,LIB-MJ091-B10_03
MFD04144,SAMN39868502,P04_3,EXT-MJ085-F2,EXT-MJ085-F2,EXT00011,F,2,7.34,PowerSoil-Pro-HT,LIB-MJ092-F2,LIB00011,F,2,0.69,ILLUMINA-DNA-PREP.V2,LIB-MJ092-F2_01
MFD04145,SAMN39868503,P04_3,EXT-MJ082-C4,EXT-MJ082-C4,EXT00008,C,4,3.66,PowerSoil-Pro-HT,LIB-MJ089-C4,LIB00008,C,4,0.12,ILLUMINA-DNA-PREP.V2,LIB-MJ089-C4_02
MFD04146,SAMN39868504,P04_3,EXT-MJ081-A8,EXT-MJ081-A8,EXT00007,A,8,9.17,PowerSoil-Pro-HT,LIB-MJ088-A8,LIB00007,A,8,1.05,ILLUMINA-DNA-PREP.V2,LIB-MJ088-A8_04
MFD04147,SAMN39868505,P04_3,EXT-MJ086-D11,EXT-MJ086-D11,EXT00012,D,11,5.5,PowerSoil-Pro-HT,LIB-MJ093-D11,LIB00012,D,11,1.45,ILLUMINA-DNA-PREP.V2,LIB-MJ093-D11_02
MFD04148,SAMN39868506,P04_3,EXT-MJ082-F5,EXT-MJ082-F5,EXT00008,F,5,8.78,PowerSoil-Pro-HT,LIB-MJ089-F5,LIB00008,F,5,0.29,ILLUMINA-DNA-PREP.V2,LIB-MJ089-F5_02
MFD04149,SAMN39868507,P04_3,EXT-MJ082-H5,EXT-MJ082-H5,EXT00008,H,5,9.86,PowerSoil-Pro-HT,LIB-MJ089-H5,LIB00008,H,5,0.27,ILLUMINA-DNA-PREP.V2,LIB-MJ089-H5_02
MFD04150,SAMN39868508,P04_3,EXT-MJ085-D11,EXT-MJ085-D11,EXT00011,D,11,6.01,PowerSoil-Pro-HT,LIB-MJ092-D11,LIB00011,D,11,1.09,ILLUMINA-DNA-PREP.V2,LIB-MJ092-D11_01
MFD04151,SAMN39868509,P04_3,EXT-MJ081-H4,EXT-MJ081-H4,EXT00007,H,4,8.59,PowerSoil-Pro-HT,LIB-MJ088-H4,LIB00007,H,4,1.29,ILLUMINA-DNA-PREP.V2,LIB-MJ088-H4_04
MFD04152,SAMN39868510,P04_3,EXT-MJ082-E6,EXT-MJ082-E6,EXT00008,E,6,10.54,PowerSoil-Pro-HT,LIB-MJ089-E6,LIB00008,E,6,0.34,ILLUMINA-DNA-PREP.V2,LIB-MJ089-E6_02
MFD04153,SAMN39868511,P04_3,EXT-MJ085-E9,EXT-MJ085-E9,EXT00011,E,9,7.28,PowerSoil-Pro-HT,LIB-MJ092-E9,LIB00011,E,9,0.92,ILLUMINA-DNA-PREP.V2,LIB-MJ092-E9_01
MFD04154,SAMN39868512,P04_3,EXT-MJ084-B4,EXT-MJ084-B4,EXT00010,B,4,21.81,PowerSoil-Pro-HT,LIB-MJ091-B4,LIB00010,B,4,0.64,ILLUMINA-DNA-PREP.V2,LIB-MJ091-B4_03
MFD04155,SAMN39868513,P04_3,EXT-MJ086-E11,EXT-MJ086-E11,EXT00012,E,11,5.73,PowerSoil-Pro-HT,LIB-MJ093-E11,LIB00012,E,11,1.64,ILLUMINA-DNA-PREP.V2,LIB-MJ093-E11_02
MFD04156,SAMN39868514,P04_3,EXT-MJ084-C9,EXT-MJ084-C9,EXT00010,C,9,33.43,PowerSoil-Pro-HT,LIB-MJ091-C9,LIB00010,C,9,0.88,ILLUMINA-DNA-PREP.V2,LIB-MJ091-C9_03
MFD04157,SAMN39868515,P04_3,EXT-MJ085-C1,EXT-MJ085-C1,EXT00011,C,1,9.01,PowerSoil-Pro-HT,LIB-MJ092-C1,LIB00011,C,1,0.79,ILLUMINA-DNA-PREP.V2,LIB-MJ092-C1_01
